discord_id,wallet,twitter
289931814040985442,0xlj3d2ys9v6xg9g0c6rr80u10dg28q9q2rt4m0eb8,@Evan
077891044302929334,0xra4l8gz5v3fl8s0g7gf71b00xk36t5s8rn5n0pu9,@Thaddeus
291969323152033713,0xct4w6dx0h8mt1f8s6ht17k17rk80x7v4ir0j1hf0,@Eaton
388855111714509925,0xih4i7th6s1qb9d9f7qo88i65zf65x5q6qe6p3kf7,@Kamal
448735327044507962,0xqc9l2jy6c5ab7r9m9zf44f48zl29a1w0ks9a6cf3,@Timon
339279403697293343,0xwz4x2ky2n2fu4l6c3zu57o03gt37p3b1rd4r0ue6,@Tate
035342000385646255,0xgk3v0gw4n6mq9b0f4ra68n18za05i2c5yn0y8wn7,@Flynn
714765586399939327,0xzh6n2wu5p2bq0r7d1zl78k66dj91a1r8aq3j0zs5,@Bradley
236362364799385617,0xss8e2kt0q7wa0o9h4pk55c79ql36r4s0kk9n3eu2,@Wang
345309372093172171,0xbj0f4ck5e0xk5j8u7eg04i93dz31l0b0xm4s3vp0,@Patrick
690878699808387495,0xlp6e9rl1o7bd6k9b2su18e28ex72v2u1qx3y2tf1,@Vance
432136631330429827,0xzs7e9en4b2rj7t6d0jb23s28mf46s5o2pz5n2jg9,@Cairo
816003508053885063,0xiu3c1vo9e6hc7h5l7pk27h46fj88c1l4ec9k3hg1,@Tanek
076841074370268265,0xfa5l1df5w0ld3f4y1vo06q40yb63g1y4mn9k1rx0,@Dolan
269488581272680822,0xlg9l7qg3s1lr0f2q2fz74h83ru50x6h3nh3r9vn6,@Abel
991236744498714040,0xrq0z6cc4i0yn0v5v7fv46z45rx97z8z1ky7j4ms3,@Levi
541266775202293715,0xkj4l0wx3s8vb9n8r7tb02b03oi92d9z3jk2s8wq5,@Colorado
221249443052393858,0xju8x5ib6y5da1b6m2yq87z75hw52x9a3ab1t9bt4,@Uriah
373394273510483291,0xxi4w8mb3m1fc5f0j5to83e92la84o0s9vi0v9pc7,@Matthew
233942352466419351,0xhs4i3oy3u8ja7o9p0uy66j76on40h7h3yu7v2ry6,@Honorato
293387763194132999,0xkr3u7tf4f5fr5w9h9ss74y47ao09j7b2zr8l6fn9,@Flynn
372579923306586831,0xsm7o9fm9c0lc1i9a4bz73l98bx74t7i6si8l7hl1,@Jakeem
107280978894852247,0xex0x6hb4s8lq9x6q3rj81u41oo70o9r1zo4d8mx6,@Phelan
259334881760743664,0xhf0w9ni2m9lj5n3o1vu43x78as82n3g4tl5q7er9,@Sylvester
486241295685763100,0xqe7r3ht0i9nw7e3a6on39g16gd34j5d5vr5j8dl9,@Herman
050814011456697450,0xlv4e8sg8p0sl7n3h1sw47x35kt99e3o9jk3x7fg8,@Eric
541407740774412020,0xoc0j5lr4d9qo2j7g6iy79p05yw91s3b9tp9r9kr4,@Clinton
359464573766223648,0xpx6i6aq1e0gj6y9g3rs97m42bq76h6r7tw3u0gm6,@Henry
422971436680157136,0xmn1f6jt9s1ko1i9c3jk90z22up06k8d7fc7h7mp8,@Xenos
594884947122833433,0xkr9v8rk2i6ph7c7t1zm37r61of89x5x1co1x0gy0,@Marvin
324552992911456060,0xcj4m2pn4u9pf7i3c9df33i43ti03b8l2ki6s3xb4,@Hoyt
006853677026017077,0xow8m9ng7g8fj2o9g6do57a93xq31o4x0jp0u2ut4,@Octavius
596861903725745907,0xtt6o1bj3r3ws3a9x2qy51o07uk35y3x0my2u0gl8,@Moses
935780857799772875,0xnr6x5af9m3zt3b0o3cw81y67tt95h3c1vn6u8zk5,@Wang
228243488428421872,0xct8q5cp0s7nr9o0g8kd31c43jb32e0m7vn9c5kr3,@Clark
409559963438265430,0xae2w2tf0m2va2b1c7li35g41yv18v0f5nr4c2wp2,@Malcolm
595410412136024452,0xiu7s9oz8c4el9v0y4lz16e54dn11i0u0sn1c1pl5,@Vernon
456367991026868388,0xft9v9vg7h9bh9k6w8dv07o44hv81n0e6ph4c0am7,@Connor
674381658331494599,0xgu8b1kb3r5lj6n7a8vs36d57pq53w8d4pv2f7jy6,@Edan
518650029008714614,0xpi7k1rg5h5pn9u4t1bw76a20bm59a5l4uj4y1ui9,@Timothy
909993641097961934,0xxu0x8eu0o4ek6l6m2co46e64la20b0b8dk2t2ue6,@Russell
022155510710333666,0xsd1z4io7z2dx0f9b9kc59l73xs06c6w3yx8x6ow2,@Guy
010338028073867940,0xlf8f8sn5j5in5n4w1vk39g75pf11l9d7fq9h9tm9,@Dillon
220977731709065952,0xxl8v4aw3t5jw0p7q5bl68f51bu47t1r7hp7q0rj9,@Beau
325802393109029160,0xxp9m7sy3j4mk7s0y7ke22g51kq29o4m1hy0o6em5,@Neil
484061164623750526,0xgj3g5kh5u0er9q3j5jk06c73ig51h5j8ts5b9ow2,@Noah
786233618233646514,0xeq2s4jl2q8in3u4l0zj50h88nm95i6u1xj6v0li4,@Troy
013884045534510557,0xdh4r4wz6t2jl4k9d8xy08z72ky97a9r5xw9m8pl4,@Xenos
319851768932513315,0xtx1k5qd3l9ol3e5y7sf79z75or86i9i1ed7r6pf7,@Gavin
578938499674104108,0xsm1b9pd9l4ft1t5o1kt47d40kc35x4j9eb2x7in9,@Raphael
898859517777842726,0xtv1t3ri7h3pi7r3o0lm44q82kt39y3k4fh6y4wp1,@Brennan
317825415577942973,0xkw0v2ut3q7ma1g8a8rl84d78bo58a5a3ua8b0fj4,@Abraham
404232357965544245,0xdc3o1fe4x1ck7e1q3fp01s88aw23a0j9yg8f4ku3,@Andrew
736303065807847736,0xtm5u4vt3s7hv1k4s6sg80f17fe38a0r8zl7g2fd4,@Harrison
791441007840497875,0xkc8c3cz0z5yi8d0n1cc98a69ui16m1v9ms7v2fy2,@Justin
933475918842248048,0xee1e1lc0f8ya0t4r3dh24o00zv11r6z3fw1j6ls0,@Devin
676479222697859159,0xyk6c7zj7y6yg9f6l0dw23i37co65s9j4tz6m8df1,@Yardley
